Oblast ,"Area 
(km2) ","Population 
(2010 Census) ","Population 
(2021 estimate)[8] ","Population 
density (2021) ","Administrative
centre ","No. of 
raions[i] "
 Cherkasy Oblast ,"20,891.0 ","1,291,135 ","1,178,266 ",56.40 ,Cherkasy ,4
 Chernihiv Oblast ,"31,851.3 ","1,104,241 ",977,30.66 ,Chernihiv ,5
 Chernivtsi Oblast ,"8,093.6 ",904,897,110.77 ,Chernivtsi ,3
 Dnipropetrovsk Oblast ,"31,900.5 ","3,344,073 ","3,142,035 ",98.49 ,Dnipro ,7
 Donetsk Oblast ,"26,505.7 ","4,448,031 ","4,100,280 ",154.69 ,Donetsk ,8
 Ivano-Frankivsk Oblast ,"13,894.0 ","1,380,770 ","1,361,109 ",97.96 ,Ivano-Frankivsk ,6
 Kharkiv Oblast ,"31,401.6 ","2,755,177 ","2,633,834 ",83.88 ,Kharkiv ,7
 Kherson Oblast ,"28,449.0 ","1,091,151 ","1,016,707 ",35.74 ,Kherson ,5
 Khmelnytskyi Oblast ,"20,636.2 ","1,331,534 ","1,243,787 ",60.27 ,Khmelnytskyi ,3
 Kyiv Oblast ,"28,118.9 ","1,719,602 ","1,788,530 ",63.61 ,Kyiv ,7
 Kirovohrad Oblast ,"24,577.5 ","1,014,809 ",920,37.44 ,Kropyvnytskyi ,4
 Luhansk Oblast ,"26,672.5 ","2,300,412 ","2,121,322 ",79.53 ,Luhansk ,8
 Lviv Oblast ,"21,823.7 ","2,545,634 ","2,497,750 ",114.45 ,Lviv ,7
 Mykolaiv Oblast ,"24,587.4 ","1,186,452 ","1,108,394 ",45.08 ,Mykolaiv ,4
 Odessa Oblast ,"33,295.9 ","2,387,636 ","2,368,107 ",71.12 ,Odessa ,7
 Poltava Oblast ,"28,735.8 ","1,493,668 ","1,371,529 ",47.73 ,Poltava ,4
 Rivne Oblast ,"20,038.5 ","1,152,576 ","1,148,456 ",57.31 ,Rivne ,4
 Sumy Oblast ,"23,823.9 ","1,166,765 ","1,053,452 ",44.22 ,Sumy ,5
 Ternopil Oblast ,"13,817.1 ","1,086,694 ","1,030,562 ",74.59 ,Ternopil ,3
 Vinnytsia Oblast ,"26,501.6 ","1,646,250 ","1,529,123 ",57.70 ,Vinnytsia ,6
 Volyn Oblast ,"20,135.3 ","1,038,223 ","1,027,397 ",51.02 ,Lutsk ,4
 Zakarpattia Oblast ,"12,771.5 ","1,246,323 ","1,250,129 ",97.88 ,Uzhhorod ,6
 Zaporizhzhia Oblast ,"27,168.5 ","1,805,431 ","1,666,515 ",61.34 ,Zaporizhzhia ,6
 Zhytomyr Oblast ,"29,819.2 ","1,283,201 ","1,195,495 ",40.09 ,Zhytomyr ,4
